ply
format ascii 1.0
element vertex 15878
property float x
property float y
property float z
element face 0
property list uchar int vertex_indices
property list uchar float texcoord
end_header
 142.9582 -147.85749564783634 43.75928463519028
 142.9582 -187.95958188878677 104.83157686177395
 142.9582 -147.27266051490653 61.47966044273292
 142.9582 -174.5240935385456 100.0002590393662
 142.9582 -222.71810115934036 179.67858789908195
 142.9582 -297.1488183325262 294.8706725628491
 142.9582 4.459988618913003 45.00155478608997
 142.9582 125.5559673920218 11.480409505172702
 142.9582 154.89618945581606 52.06388592571042
 142.9582 179.24553442964395 100.05285983978635
 142.9582 -163.61569022609257 46.71665349866652
 142.9582 -146.60231430381293 44.85579628335665
 142.9582 -180.64151805951514 96.56032549703806
 142.9582 -139.71913047101324 57.91016296052112
 142.9582 -167.7164161310137 89.0002590393662
 142.9582 -204.552753015339 148.8284090874023
 142.9582 -264.179445633928 242.81825900606765
 142.9582 -353.29258648836554 386.02880306250046
 143.8542 5.1155540300988775 41.84121574501998
 143.8542 101.63524315454873 -23.60576794390886
 143.8542 119.18627071893565 2.4032517885022173
 143.8542 139.8724026928072 29.246400704654462
 143.8542 166.49658618307112 85.49137476422476
 143.8542 200.37103621850054 133.43509385996245
 143.8542 161.32275948015038 61.69359189733339
 143.8542 158.26473733840933 33.95105955132607
 143.8542 -171.1440163497818 47.49139404581322
 143.8542 -138.36749767074798 40.3201978802808
 143.8542 -160.4354014135223 68.81618979515773
 143.8542 -141.79563559478626 60.29710687848197
 143.8542 -167.78229260026285 92.39165590397829
 143.8542 -203.4605652367812 149.6224301043089
 143.8542 -254.734700546316 229.923392341091
 143.8542 -338.8308708597763 365.26672139281584
 143.8542 3.9001833565192916 41.864078874716114
 143.8542 7.390660316644666 44.28480805441259
 143.8542 9.866238948040516 46.45247829438216
 144.7502 110.46888606043152 -9.517414216997452
 144.7502 127.77717055044316 13.074108821588055
 144.7502 149.57770128734614 41.845856955949046
 144.7502 172.4551524675363 85.91229263869641
 144.7502 205.62821047579118 146.28145293365537
 144.7502 166.45867187004023 64.3115550482884
 144.7502 155.3447296189318 35.84440998077875
 144.7502 -168.31188516598579 41.43232883237462
 144.7502 -153.7865728055234 43.56669958232163
 144.7502 -134.89338527804236 29.110192892799176
 144.7502 -129.03467317584216 37.32550228365574
 144.7502 -150.79319599368785 70.98489004065058
 144.7502 -173.21077185034258 103.7523996607743
 144.7502 -216.62098620810676 166.70588932963153
 144.7502 -266.51994517788364 246.17925724247343
 144.7502 -341.10199781781455 368.49528572796964
 144.7502 5.439775089926411 45.190437667603476
 144.7502 7.564589407222257 43.88341164456082
 145.6462 117.32931694693451 -1.702140457839704
 145.6462 135.0798168395723 29.741123224176533
 145.6462 155.28414942047462 58.964053036691695
 145.6462 180.27537346197346 97.67287420905646
 145.6462 229.67502070755475 186.19755561603012
 145.6462 167.1637823711979 64.08456348124739
 145.6462 153.86995493138298 37.39337386919715
 145.6462 156.5252084540272 32.95836161462782
 145.6462 -170.74064145284666 51.455157339966235
 145.6462 -148.47657663735257 49.003649173344144
 145.6462 -186.65632734446535 109.04695587529136
 145.6462 -139.3124601291525 54.502467586235554
 145.6462 -156.10723243356898 80.99257303827443
 145.6462 -180.58874413130462 109.77550480336063
 145.6462 -219.7896278568992 171.51455529565476
 145.6462 -264.7900498597748 247.3536565457122
 145.6462 -329.91402863621477 349.685489655177
 146.5422 109.0208689925763 -11.917322193048506
 146.5422 124.0173505054199 6.346071500912302
 146.5422 139.23698615211495 27.95055246357026
 146.5422 154.6388854081703 64.95597320594561
 146.5422 181.3608309047564 106.76758654045673
 146.5422 211.02018562112596 153.77688525352175
 146.5422 163.25130779470112 52.93168859036561
 146.5422 153.49980678712123 32.799639209407644
 146.5422 153.75114631891265 36.72942072230211
 147.4382 -152.0035960311117 40.87626708259489
 147.4382 -129.3488321422559 20.513697913163668
 147.4382 -139.9353785616877 41.6243936948793
 147.4382 -152.89254845637774 63.650113374744706
 147.4382 -197.14041278496933 124.57496132248559
 147.4382 -147.3890860884447 58.27659662849007
 147.4382 -162.3802984669654 81.96836317787879
 147.4382 -181.5591096386864 116.48538600473634
 147.4382 -215.80699064076788 168.33037889598322
 147.4382 -260.6132755921228 236.767692824304
 147.4382 -312.1670767310373 322.3348829871155
 147.4382 8.060543073734474 43.17998596890337
 147.4382 120.13646753503761 2.9900302140129043
 147.4382 129.27635524300703 21.748045331908344
 147.4382 150.41593186425033 43.102743237761416
 147.4382 162.93146200903058 76.6184293170742
 147.4382 192.2598720564459 125.47790560949574
 147.4382 146.86500138006656 32.831300905442106
 147.4382 155.04470840905506 30.82071278403791
 148.3342 -167.46554598779838 47.309017675315516
 148.3342 -149.20512692290728 39.08456941865171
 148.3342 -101.72004443360854 -18.792620382593924
 148.3342 -144.67305833111453 51.91857135104655
 148.3342 -179.22579674400527 99.20784078883085
